learning_rate,hidden_size,reg_lambda,batch_size,activation,best_val_acc,final_train_loss
0.01,512,0.0001,128,relu,0.42,1.6128466224506355
0.001,64,0.001,32,sigmoid,0.2,2.4019321525062067
0.0001,512,0.001,128,tanh,0.2155,3.231806183838589
0.0001,128,0.001,32,sigmoid,0.1305,2.5614819732574414
0.0001,64,0.001,32,tanh,0.263,2.200767497840327
0.0001,64,0.01,64,sigmoid,0.121,3.6764060775803573
0.01,64,0.0001,128,relu,0.381,1.6572852218608551
0.01,512,0.001,128,tanh,0.413,2.5682384201870154
0.001,256,0.0001,128,relu,0.3265,1.9630543679209276
0.001,64,0.01,32,relu,0.3555,3.052646912777969
0.001,512,0.0001,32,sigmoid,0.24,2.337601211155647
0.01,128,0.001,32,sigmoid,0.3205,2.186875073009228
0.01,128,0.01,128,sigmoid,0.26,4.326307315640548
0.001,256,0.0001,128,sigmoid,0.172,2.340383054602501
0.01,128,0.01,64,sigmoid,0.2855,3.839594833659849
0.01,128,0.001,64,tanh,0.4285,1.736549958256739
0.01,128,0.001,128,tanh,0.401,1.8541977169966444
0.001,128,0.01,32,tanh,0.3675,4.189588845425763
0.0001,256,0.001,32,relu,0.2835,2.5601557251418545
0.0001,64,0.001,32,relu,0.2425,2.246367149610884
0.001,128,0.01,64,sigmoid,0.185,4.833942454972007
0.01,128,0.0001,32,sigmoid,0.335,1.941608745556843
0.001,128,0.01,128,sigmoid,0.1425,4.8984850783397835
0.0001,128,0.001,128,relu,0.1965,2.4946975995545557
0.0001,128,0.01,128,relu,0.1795,4.910126389689721
0.01,64,0.0001,32,sigmoid,0.325,1.9510440200488413
0.01,256,0.001,64,relu,0.44,1.9045830026357837
0.01,256,0.0001,32,sigmoid,0.3365,1.946820241106559
0.0001,256,0.01,64,tanh,0.231,7.338658664452883
0.0001,256,0.0001,64,sigmoid,0.1155,2.3585202628610173
0.001,256,0.001,32,sigmoid,0.2485,2.7639305715394693
0.0001,128,0.0001,64,relu,0.202,2.233536158676212
0.01,512,0.0001,32,sigmoid,0.344,1.9863392944744944
0.01,256,0.0001,32,tanh,0.4465,1.3051850298593646
0.0001,64,0.001,64,sigmoid,0.0995,2.5112773502016164
0.01,64,0.01,32,relu,0.4245,2.1351051717327874
0.01,256,0.01,64,sigmoid,0.279,5.414743427616152
0.0001,512,0.0001,64,tanh,0.2595,2.1861723650804077
0.0001,64,0.0001,128,sigmoid,0.09,2.523585498815217
0.001,512,0.001,64,sigmoid,0.2095,3.301187243477373
0.0001,128,0.001,128,sigmoid,0.1055,2.5904794349983638
0.01,512,0.01,64,sigmoid,0.2875,8.63458805066028
0.0001,64,0.001,32,sigmoid,0.116,2.4509234595802436
0.01,64,0.001,32,tanh,0.4255,1.5032276094249324
0.001,256,0.0001,64,relu,0.351,1.861733529900542
0.01,256,0.01,128,relu,0.405,5.788059777432471
0.001,64,0.001,64,relu,0.3355,2.020992099536994
0.0001,512,0.0001,32,tanh,0.3095,2.088225910140799
0.01,256,0.0001,64,tanh,0.4255,1.4905865105719185
0.001,128,0.001,128,sigmoid,0.1305,2.5576709147165126
0.0001,64,0.01,128,tanh,0.162,3.6393939562326714
0.0001,512,0.0001,32,sigmoid,0.106,2.402094101752826
0.001,64,0.001,128,sigmoid,0.163,2.4283109205019566
0.001,64,0.01,64,relu,0.329,3.2325504726095415
0.0001,512,0.01,32,relu,0.2805,12.261397401604311
0.001,512,0.0001,64,relu,0.355,1.9028159274132892
0.001,256,0.001,32,tanh,0.3725,2.228863880261404
0.001,512,0.0001,32,relu,0.3845,1.7999912810219436
0.001,64,0.01,32,tanh,0.3535,3.0271643668619763
0.0001,256,0.0001,32,tanh,0.279,2.070366820112953
0.0001,64,0.001,64,tanh,0.224,2.3028349788904627
0.01,256,0.01,32,relu,0.4455,3.59318417979451
0.001,128,0.01,128,tanh,0.311,4.54102314153501
0.001,128,0.001,64,sigmoid,0.227,2.541242703198526
0.0001,64,0.01,128,relu,0.1715,3.631548302535836
0.01,64,0.001,128,tanh,0.3945,1.7700150808842665
0.0001,128,0.01,32,tanh,0.2765,4.683714730277341
0.001,512,0.001,128,relu,0.3385,2.9186466025210263
0.001,64,0.0001,64,tanh,0.3425,1.8647078182470573
0.001,512,0.001,32,relu,0.3825,2.7133753622691223
0.01,512,0.0001,32,relu,0.463,1.1678692761868938
0.001,512,0.0001,64,sigmoid,0.224,2.3706840922853716
0.01,512,0.01,32,tanh,0.4335,5.705434393340129
0.001,64,0.0001,32,relu,0.357,1.7641220003538824
0.01,64,0.0001,32,tanh,0.425,1.3795200340420688
